,Tweet,Created_at,Positive,Negative,Neutral,Currencies,Tweeted_day_Open,Tweeted_day_High,Tweeted_day_Low,Tweeted_day_Close,Tweeted_day_Volume,Prev_30days_Open,Prev_30days_High,Prev_30days_Low,Prev_30days_Close,Prev_30days_Volume,Next_7days_Open,Next_7days_High,Next_7days_Low,Next_7days_Close,Next_7days_Volume,Next_30days_Open,Next_30days_High,Next_30days_Low,Next_30days_Close,Next_30days_Volume
10,"Gm

Planet with big names onboard🔥
$planet @JoinOurPlanet https://t.co/Lb7181I9KL",2023-08-11T04:59:12.000Z,0.0,0.0,1.0,PLANET,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
11,"$planet

Probably nothing. 🔥 https://t.co/18tjDA0ePb",2023-08-10T20:33:21.000Z,0.0,0.0,1.0,PLANET,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
12,"Coins such as $matic had their great run back in 2020/2021. I made x 100 on that one back in time.. but i wouldnt buy it anymore. 

Not sure why People still buy it. 7 bil marketcap LOL",2023-08-10T19:23:46.000Z,0.18,0.06,0.76,MATIC,0.6900209784507751,0.6986920237541199,0.68402498960495,0.6849750280380249,259293296,0.7364659905433655,0.7471029758453369,0.7344409823417664,0.7421219944953918,330288973,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
13,"#floki team still working with major updates coming soon.

Also always follows $doge pumps. https://t.co/16xFddhuMI",2023-08-10T15:00:07.000Z,0.0,0.0,1.0,DOGE,0.07531899958848953,0.07670599967241287,0.0751579999923706,0.0758029967546463,341419517,0.06524699926376343,0.06545499712228775,0.064519003033638,0.06528700143098831,151465120,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
14,Gz $RVF Will skyrocket once Bull season starts. https://t.co/Oy3qKuWlvi,2023-08-09T14:13:09.000Z,0.0,0.0,1.0,RVF,0.3145439922809601,0.37147200107574463,0.3145439922809601,0.3566809892654419,646804,0.08980099856853485,0.09265600144863129,0.08697599917650223,0.08873999863862991,94634,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
15,"$apt the biggest over valued ponzi 

They wont trick me",2023-08-09T13:33:47.000Z,0.336,0.0,0.664,APT,0.00015999999595806003,0.00016900000628083944,0.00015500000154133886,0.00016399999731220305,2513,0.00016599999798927456,0.0001880000054370612,0.00016500000492669642,0.0001829999964684248,4892,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
16,"Accumulate some $mask

Thank me later.
🖖",2023-08-09T09:22:51.000Z,0.333,0.0,0.667,MASK,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
17,"Send it to $1 with haste 

$ATOR https://t.co/9xKxRF6RBF https://t.co/wSvw5uYTOV",2023-08-08T21:54:20.000Z,0.0,0.0,1.0,ATOR,0.5486099720001221,0.6250209808349609,0.5161129832267761,0.616549015045166,870585,0.4573709964752197,0.5124670267105103,0.45722299814224243,0.49157899618148804,449896,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
18,Probably nothing $INJ https://t.co/5ReBjGDw0A,2023-08-08T21:49:30.000Z,0.0,0.0,1.0,INJ,7.923491954803467,8.21909236907959,7.893619060516357,8.11281681060791,31871262,8.060437202453613,8.445717811584473,8.046660423278809,8.202787399291992,45611505,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
19,$mask season is upon us. https://t.co/Wv9dFYw7Ce,2023-08-08T17:19:54.000Z,0.0,0.0,1.0,MASK,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0
